Campaign_ID,Landing_page,Ad_Format,Ad_Platform,Impressions,Clicks,Cost_Per_Click,Conversion rate,Bounce_Rate
ID.9872,Best sellers,carousel,Instagram,6895,1403,0.14,3.38,0.6
ID.1816,Best sellers,carousel,Instagram,9608,8370,0.02,1.97,0.68
ID.9872,Best sellers,carousel,Instagram,2308,994,0.36,2.59,0.35
ID.1816,Best sellers,carousel,Instagram,9862,8180,0.13,4.7,0.54
ID.7563,Best sellers,carousel,Instagram,6807,1379,0.05,3.76,0.62
ID.9872,Best sellers,carousel,Instagram,2771,332,0.26,1.85,0.61
ID.9872,Best sellers,carousel,Instagram,7325,4478,0.05,2.6,0.33
ID.9872,Best sellers,carousel,Instagram,3900,2580,0.17,1.69,0.43
ID.9872,Best sellers,carousel,Instagram,3765,2990,0.1,1.45,0.6
ID.7563,Best sellers,carousel,Instagram,2118,1125,0.44,1.31,0.46
ID.1816,Best sellers,carousel,Instagram,6515,2895,0.03,1.75,0.65
ID.1816,Best sellers,carousel,Instagram,4785,396,0.2,4.96,0.47
ID.9872,Best sellers,carousel,Instagram,5500,3969,0.22,3.46,0.56
ID.1816,Best sellers,carousel,Instagram,8783,6107,0.13,3.14,0.48
ID.9872,Best sellers,carousel,Instagram,4163,451,0.23,4.66,0.43
ID.9872,Best sellers,carousel,Instagram,6461,2788,0.12,4.52,0.42
ID.9872,Best sellers,carousel,Instagram,8456,5833,0.08,1.65,0.35
ID.7563,Best sellers,carousel,Instagram,9999,3477,0.06,3.94,0.58
ID.9872,Best sellers,carousel,Instagram,9855,5755,0.15,4.85,0.37
ID.9872,Best sellers,carousel,Instagram,3412,2101,0.49,1.69,0.53
ID.1816,Best sellers,carousel,Instagram,1438,784,0.27,1.98,0.44
ID.7563,Best sellers,carousel,Instagram,2507,1574,0.47,1.9,0.4
ID.7563,Best sellers,carousel,Instagram,1857,1150,0.5,3.84,0.64
ID.7563,Best sellers,carousel,Instagram,8738,2397,0.48,2.64,0.67
ID.1816,Best sellers,carousel,Instagram,9499,2086,0.23,3.5,0.32
ID.1816,Best sellers,carousel,Instagram,8403,7525,0.17,4.71,0.52
ID.9872,Best sellers,carousel,Instagram,4596,3075,0.25,4.08,0.61
ID.1816,Best sellers,carousel,Instagram,9369,4317,0.87,2.6,0.63
ID.9872,Best sellers,carousel,Instagram,7386,2872,0.02,4.73,0.35
ID.1816,Best sellers,carousel,Instagram,7493,1715,0.11,4.76,0.44
ID.1816,Best sellers,carousel,Instagram,2572,233,0.26,4.2,0.35
ID.1816,Best sellers,carousel,Instagram,9162,8505,0.1,1.56,0.52
ID.9872,Best sellers,carousel,Instagram,7619,6893,0.07,2.23,0.32
ID.9872,Best sellers,carousel,Instagram,1818,928,0.48,2.79,0.33
ID.7563,Best sellers,carousel,Instagram,1423,1406,0.32,2.38,0.62
ID.9872,Best sellers,carousel,Instagram,9288,1395,0.06,4.21,0.5
ID.9872,Summer Collection,stories,Snapchat,2498,619,0.23,4.94,0.48
ID.1816,Summer Collection,stories,Snapchat,5156,4350,0.16,3.07,0.39
ID.1816,Summer Collection,stories,Snapchat,8689,3045,0.15,4.32,0.59
ID.9872,Summer Collection,stories,Snapchat,3057,2561,0.04,2.69,0.47
ID.9872,Summer Collection,stories,Snapchat,6917,4228,0.11,3.25,0.43
ID.1816,Summer Collection,stories,Snapchat,9757,3132,0.02,1.46,0.53
ID.1816,Summer Collection,stories,Snapchat,5547,2666,0.16,4.33,0.47
ID.7563,Summer Collection,stories,Snapchat,8552,6680,0.26,3.17,0.45
ID.1816,Summer Collection,stories,Snapchat,6874,1343,0.21,3.81,0.47
ID.7563,Summer Collection,stories,Snapchat,4093,3564,0.22,4.65,0.63
ID.9872,Summer Collection,stories,Snapchat,5174,2132,0.41,3.45,0.53
ID.9872,Summer Collection,stories,Snapchat,4099,3528,0.65,4.55,0.55
ID.1816,Summer Collection,stories,Snapchat,3092,390,0.04,4.51,0.39
ID.9872,Summer Collection,stories,Snapchat,8682,3916,0.21,3.13,0.56
ID.9872,Summer Collection,stories,Snapchat,3586,1178,0.08,1.98,0.68
ID.1816,Summer Collection,stories,Snapchat,2190,1064,0.4,3.69,0.59
ID.9872,Summer Collection,stories,Snapchat,7576,3075,0.29,1.35,0.6
ID.9872,Summer Collection,stories,Snapchat,7628,6354,0.14,2.22,0.37
ID.7563,Summer Collection,stories,Snapchat,6753,4870,0.11,4.62,0.59
ID.9872,Summer Collection,stories,Snapchat,4927,2427,0.48,3.21,0.51
ID.9872,Summer Collection,stories,Snapchat,4383,3722,0.18,3.9,0.46
ID.9872,Summer Collection,stories,Snapchat,2975,2591,0.28,1.44,0.59
ID.9872,Summer Collection,stories,Snapchat,8925,6897,0.21,1.97,0.31
ID.9872,Summer Collection,stories,Snapchat,4386,3197,0.54,3.56,0.31
ID.9872,Summer Collection,stories,Snapchat,1594,579,0.1,4.94,0.67
ID.7563,Summer Collection,stories,Snapchat,4299,510,0.03,4.42,0.33
ID.9872,Summer Collection,stories,Snapchat,8932,4793,0.34,3.4,0.65
ID.9872,Summer Collection,stories,Snapchat,3517,1400,0.66,3.94,0.51
ID.7563,Summer Collection,stories,Snapchat,9965,1626,0.02,2.58,0.59
ID.9872,Summer Collection,stories,Snapchat,3117,2146,0.13,3.31,0.63
ID.9872,Summer Collection,stories,Snapchat,1601,1110,0.77,3.62,0.7
ID.1816,Summer Collection,stories,Snapchat,9751,8275,0.01,4,0.46
ID.9872,Summer Collection,stories,Snapchat,1692,940,0.53,1.55,0.42
ID.1816,Summer Collection,stories,Snapchat,2725,1892,0.07,2.99,0.31
ID.1816,Summer Collection,stories,Snapchat,1774,1127,0.49,3.1,0.37
ID.1816,Summer Collection,stories,Snapchat,7836,2514,0.69,1.08,0.56
ID.9872,Summer Collection,stories,Snapchat,7216,5104,0.18,2.99,0.58
ID.9872,Summer Collection,stories,Snapchat,5680,3110,0.22,2.34,0.69
ID.9872,Summer Collection,stories,Snapchat,6631,1580,0.1,2.01,0.43
ID.7563,Summer Collection,stories,Snapchat,7975,7172,0.02,1.61,0.34
ID.7563,Summer Collection,stories,Snapchat,1672,521,0.48,4.65,0.34
ID.1816,Summer Collection,stories,Snapchat,1950,1254,0.47,3.11,0.66
ID.1816,Summer Collection,stories,Snapchat,7355,2767,0.2,4.91,0.58
ID.7563,Summer Collection,stories,Snapchat,4676,3239,0.19,2.95,0.67
ID.9872,Summer Collection,stories,Snapchat,3152,1832,0.21,2.96,0.47
ID.1816,Summer Collection,stories,Snapchat,6760,2150,0.11,2.8,0.31
ID.1816,Summer Collection,stories,Snapchat,6419,3536,0.12,2.44,0.41
ID.7563,Summer Collection,stories,Snapchat,9153,6390,0.15,2,0.42
ID.1816,Summer Collection,stories,Snapchat,4061,1892,0.05,3.92,0.48
ID.9872,Summer Collection,stories,Snapchat,8859,318,0.16,2.15,0.61
ID.7563,Summer Collection,stories,Snapchat,6315,2167,0.04,1.59,0.32
ID.9872,Summer Collection,stories,Snapchat,8616,3306,0.06,3.45,0.65
ID.1816,Summer Collection,stories,Snapchat,5142,878,0.15,3.12,0.62
ID.1816,Summer Collection,stories,Snapchat,2719,373,0.06,2.27,0.41
ID.9872,Summer Collection,stories,Snapchat,1428,933,0.57,2.19,0.59
ID.9872,Summer Collection,stories,Snapchat,2901,1466,0.2,2.55,0.59
ID.7563,Summer Collection,stories,Snapchat,9300,281,0.32,1.44,0.63
ID.7563,Summer Collection,stories,Snapchat,1111,513,0.59,2.71,0.49
ID.1816,Summer Collection,stories,Snapchat,6113,3479,0.11,3.21,0.39
ID.9872,Summer Collection,stories,Snapchat,5326,2751,0.61,4.23,0.51
ID.1816,Fall Collection,interactive,Twitter,4309,478,0.16,4.75,0.64
ID.9872,Fall Collection,interactive,Twitter,1052,401,0.74,3.42,0.64
ID.1816,Fall Collection,interactive,Twitter,3937,2332,0.43,3.84,0.33
ID.1816,Fall Collection,interactive,Twitter,9385,3171,1.74,2.29,0.37
ID.7563,Fall Collection,interactive,Twitter,2249,1911,0.39,2.18,0.37
ID.7563,Fall Collection,interactive,Twitter,4748,1795,0.17,3.14,0.34
ID.1816,Fall Collection,interactive,Twitter,2108,268,0.27,2.71,0.46
ID.1816,Fall Collection,interactive,Twitter,9384,3229,0.11,1.41,0.34
ID.7563,Fall Collection,interactive,Twitter,5627,3053,0.06,4.32,0.55
ID.9872,Fall Collection,interactive,Twitter,1065,927,0.71,2.98,0.41
ID.1816,Fall Collection,interactive,Twitter,7928,1388,0.21,3.77,0.66
ID.9872,Fall Collection,interactive,Twitter,6021,2501,0.15,4.56,0.37
ID.1816,Fall Collection,interactive,Twitter,7346,5265,0.16,3.81,0.69
ID.1816,Fall Collection,interactive,Twitter,4334,2485,0.18,3.63,0.34
ID.1816,Fall Collection,interactive,Twitter,9565,3480,0.07,4.77,0.54
ID.9872,Fall Collection,interactive,Twitter,1493,309,0.07,3.57,0.48
ID.9872,Fall Collection,interactive,Twitter,8507,3789,0.24,3.58,0.54
ID.9872,Fall Collection,interactive,Twitter,8092,1510,0.35,4.06,0.68
ID.1816,Fall Collection,interactive,Twitter,1864,543,0.19,3.61,0.64
ID.1816,Fall Collection,interactive,Twitter,2961,2137,0.28,2.57,0.37
ID.7563,Fall Collection,interactive,Twitter,9629,8029,0.34,1.54,0.62
ID.1816,Fall Collection,interactive,Twitter,7853,4622,0.23,1.39,0.66
ID.1816,Fall Collection,interactive,Twitter,9721,5232,0.12,3.19,0.69
ID.9872,Fall Collection,interactive,Twitter,1366,589,0.73,2.97,0.57
ID.9872,Fall Collection,interactive,Twitter,4342,3734,0.04,4.94,0.41
ID.1816,Fall Collection,interactive,Twitter,3008,1580,1.17,1.88,0.65
ID.1816,Fall Collection,interactive,Twitter,4020,457,0.09,4.02,0.42
ID.9872,Fall Collection,interactive,Twitter,9382,6430,0.14,3.7,0.57
ID.7563,Fall Collection,interactive,Twitter,3710,3377,0.58,4.05,0.35
ID.1816,Fall Collection,interactive,Twitter,2447,1418,0.39,2.75,0.69
ID.1816,Fall Collection,interactive,Twitter,2963,1252,0.15,1.38,0.62
ID.1816,Fall Collection,interactive,Twitter,9035,4951,0.07,2.09,0.65
ID.9872,Fall Collection,interactive,Twitter,4090,1065,0.07,2.7,0.39
ID.9872,Fall Collection,interactive,Twitter,3934,2446,2.16,3.36,0.41
ID.1816,Fall Collection,interactive,Twitter,9526,6016,0.28,3.98,0.38
ID.9872,Fall Collection,interactive,Twitter,8859,1566,0.77,1.46,0.59
ID.1816,Fall Collection,interactive,Twitter,4688,1768,0.15,1.12,0.34
ID.1816,Fall Collection,interactive,Twitter,4535,3805,0.12,1.77,0.55
ID.9872,Fall Collection,interactive,Twitter,6501,2824,0.53,4.85,0.38
ID.7563,Back to school,product,YouTube,4885,2241,0.02,1.01,0.47
ID.1816,Back to school,product,YouTube,5626,5184,0.1,3.83,0.68
ID.1816,Back to school,product,YouTube,1999,1258,0.37,3.11,0.62
ID.9872,Back to school,product,YouTube,8056,517,0.22,1.44,0.38
ID.1816,Back to school,product,YouTube,9578,1759,0.36,1.31,0.67
ID.9872,Back to school,product,YouTube,5806,3363,0.1,1.63,0.62
ID.9872,Back to school,product,YouTube,8259,2207,0.07,2.33,0.59
ID.7563,Back to school,product,YouTube,3574,3175,0.51,3.26,0.55
ID.1816,Back to school,product,YouTube,6478,3930,0.12,4.27,0.39
ID.1816,Back to school,product,YouTube,2284,1018,0.32,1.65,0.46
ID.1816,Back to school,product,YouTube,3172,2928,0.23,4.12,0.43
ID.9872,Back to school,product,YouTube,3393,2979,0.48,2.31,0.46
ID.9872,Back to school,product,YouTube,7000,3797,0.15,3.67,0.57
ID.9872,Back to school,product,YouTube,8428,6326,0.36,1.83,0.32
ID.1816,Back to school,product,YouTube,4059,3537,0.17,3.67,0.43
ID.1816,Back to school,product,YouTube,8751,225,0.72,2.69,0.55
ID.9872,Back to school,product,YouTube,5485,1404,0.11,4.21,0.39
ID.1816,Back to school,product,YouTube,7816,909,0.15,3.1,0.42
ID.9872,Back to school,product,YouTube,2140,1438,0.29,2.16,0.38
ID.7563,Back to school,product,YouTube,3849,2223,0.09,2.02,0.64
ID.7563,Back to school,product,YouTube,6448,6141,0.07,4.28,0.55
ID.9872,Back to school,product,YouTube,8715,2804,0.08,2.89,0.51
ID.7563,Back to school,product,YouTube,6017,3542,0.21,3.63,0.52
ID.1816,Back to school,product,YouTube,4647,2338,0.07,1.83,0.46
ID.9872,Back to school,product,YouTube,2558,444,0.14,3.76,0.59
ID.1816,Back to school,product,YouTube,3858,415,0.1,2.57,0.46
ID.1816,Back to school,product,YouTube,9764,6669,0.01,1.38,0.46
ID.9872,Back to school,product,YouTube,7890,5532,0.75,3.01,0.59
ID.1816,Back to school,product,YouTube,3490,2902,0.18,2.13,0.62
ID.7563,Back to school,product,YouTube,9804,919,0.06,3.7,0.48
ID.1816,Back to school,product,YouTube,9780,2408,0.5,3.28,0.36
ID.9872,Back to school,product,YouTube,2354,1599,0.21,2.23,0.53
ID.7563,Back to school,product,YouTube,7259,3266,0.1,1.82,0.7
ID.7563,Back to school,product,YouTube,9041,7602,0.1,3.08,0.41
ID.7563,Back to school,product,YouTube,3466,733,0.18,1.66,0.3
ID.9872,Back to school,product,YouTube,5112,1955,0.15,3.48,0.56
ID.9872,Back to school,product,YouTube,5192,351,0.19,3.62,0.31
ID.7563,Back to school,product,YouTube,3617,843,0.12,2.18,0.51
ID.9872,Back to school,product,YouTube,1444,1440,0.53,4.24,0.53
ID.1816,Back to school,product,YouTube,1075,775,0.77,4.09,0.5
ID.9872,Back to school,product,YouTube,3625,2597,0.25,4.08,0.49
ID.9872,Back to school,product,YouTube,3426,2759,0.29,1.09,0.4
ID.9872,Back to school,product,YouTube,9297,7366,0.68,2.72,0.48
